player_class,player_archetype,opponent_class,opponent_archetype,win_rate,total_games
Paladin,Murloc Paladin,Mage,Freeze Mage,77.95,821
Paladin,Murloc Paladin,Mage,Secret Mage,63.8,14137
Paladin,Murloc Paladin,Paladin,Aggro Paladin,47.68,11116
Paladin,Murloc Paladin,Paladin,Control Paladin,52,1375
Paladin,Murloc Paladin,Paladin,Murloc Paladin,50,10408
Paladin,Murloc Paladin,Priest,Big Priest,61.22,3626
Paladin,Murloc Paladin,Priest,Dragon Priest,51.71,7915
Paladin,Murloc Paladin,Priest,Spiteful Priest,62.84,8951
Paladin,Murloc Paladin,Rogue,Mill Rogue,84.02,2422
Paladin,Murloc Paladin,Rogue,Miracle Rogue,67.25,2299
Paladin,Murloc Paladin,Rogue,Tempo Rogue,55.39,473
Paladin,Murloc Paladin,Shaman,Elemental Shaman,64.43,1268
Paladin,Murloc Paladin,Shaman,Evolve Shaman,60.06,1432
Paladin,Murloc Paladin,Warlock,Control Warlock,42.58,8326
Paladin,Murloc Paladin,Warlock,Cube Warlock,48.84,9577
Paladin,Murloc Paladin,Warlock,Zoo Warlock,55.32,4282
Paladin,Murloc Paladin,Warrior,Control Warrior,47.31,799
Paladin,Murloc Paladin,Warrior,Pirate Warrior,57.61,309
Paladin,Murloc Paladin,Warrior,Recruit Warrior,63.74,444
Priest,Big Priest,Druid,Aggro Token Druid,50.22,446
Priest,Big Priest,Druid,C'Thun Druid,42.95,149
Priest,Big Priest,Druid,Jade Druid,54.15,1071
Priest,Big Priest,Druid,Ramp Druid,47.09,223
Priest,Big Priest,Druid,Spiteful Druid,41.13,462
Priest,Big Priest,Hunter,Face Hunter,34.41,247
Priest,Big Priest,Hunter,Midrange Hunter,43.82,1417
Priest,Big Priest,Hunter,Spell Hunter,59.01,1415
Priest,Big Priest,Mage,Burn Mage,69.27,1038
Priest,Big Priest,Mage,Exodia Mage,35.27,275
Priest,Big Priest,Mage,Freeze Mage,50.71,280
Priest,Big Priest,Mage,Secret Mage,42.01,5122
Priest,Big Priest,Paladin,Aggro Paladin,44.08,4034
Priest,Big Priest,Paladin,Control Paladin,55.62,552
Priest,Big Priest,Paladin,Murloc Paladin,38.78,3626
Priest,Big Priest,Priest,Big Priest,50,1272
Priest,Big Priest,Priest,Dragon Priest,56.13,2649
Priest,Big Priest,Priest,Spiteful Priest,45.4,3694
Priest,Big Priest,Rogue,Mill Rogue,28.03,1138
Priest,Big Priest,Rogue,Miracle Rogue,37.6,883
Priest,Big Priest,Rogue,Tempo Rogue,59.22,179
Priest,Big Priest,Shaman,Elemental Shaman,63.32,567
Priest,Big Priest,Shaman,Evolve Shaman,54.91,570
Priest,Big Priest,Warlock,Control Warlock,70.07,2653
Priest,Big Priest,Warlock,Cube Warlock,54.91,3500
Priest,Big Priest,Warlock,Zoo Warlock,50.54,1678
Priest,Big Priest,Warrior,Control Warrior,69.11,369
Priest,Big Priest,Warrior,Pirate Warrior,51.39,144
Priest,Big Priest,Warrior,Recruit Warrior,71.07,197
Priest,Dragon Priest,Druid,Aggro Token Druid,56.16,901
Priest,Dragon Priest,Druid,C'Thun Druid,32.77,235
Priest,Dragon Priest,Druid,Jade Druid,47.32,2090
Priest,Dragon Priest,Druid,Ramp Druid,40.11,379
Priest,Dragon Priest,Druid,Spiteful Druid,44.63,1006
Priest,Dragon Priest,Hunter,Face Hunter,50.11,449
Priest,Dragon Priest,Hunter,Midrange Hunter,47.54,2953
Priest,Dragon Priest,Hunter,Spell Hunter,46.22,2979
Priest,Dragon Priest,Mage,Burn Mage,39.39,1914
Priest,Dragon Priest,Mage,Exodia Mage,42.2,519
Priest,Dragon Priest,Mage,Freeze Mage,50.08,643
Priest,Dragon Priest,Mage,Secret Mage,48.61,10504
Priest,Dragon Priest,Paladin,Aggro Paladin,40.88,8702
Priest,Dragon Priest,Paladin,Buff Paladin,72.27,119
Priest,Dragon Priest,Paladin,Control Paladin,54.46,1122
Priest,Dragon Priest,Paladin,Murloc Paladin,48.29,7915
Priest,Dragon Priest,Priest,Big Priest,43.87,2649
Priest,Dragon Priest,Priest,Dragon Priest,50,6404
Priest,Dragon Priest,Priest,Spiteful Priest,40.35,7011
Priest,Dragon Priest,Rogue,Mill Rogue,40.05,2297
Priest,Dragon Priest,Rogue,Miracle Rogue,45.88,1844
Priest,Dragon Priest,Rogue,Tempo Rogue,54.02,398
Priest,Dragon Priest,Shaman,Elemental Shaman,50.36,1120
Priest,Dragon Priest,Shaman,Evolve Shaman,53.41,1071
Priest,Dragon Priest,Warlock,Control Warlock,58.77,5857
Priest,Dragon Priest,Warlock,Cube Warlock,50.8,7532
Priest,Dragon Priest,Warlock,Zoo Warlock,51.04,3515
Priest,Dragon Priest,Warrior,Control Warrior,43.63,761
Priest,Dragon Priest,Warrior,Pirate Warrior,54.3,302
Priest,Dragon Priest,Warrior,Recruit Warrior,45.71,361
Priest,Spiteful Priest,Druid,Aggro Token Druid,54.92,1098
Priest,Spiteful Priest,Druid,C'Thun Druid,52.81,303
Priest,Spiteful Priest,Druid,Jade Druid,59.55,2952
Priest,Spiteful Priest,Druid,Ramp Druid,50.45,551
Priest,Spiteful Priest,Druid,Spiteful Druid,52.27,1255
Priest,Spiteful Priest,Hunter,Face Hunter,48.87,796
Priest,Spiteful Priest,Hunter,Midrange Hunter,56.28,3879
